,Movie URL's,Movie Title,release Year,Genres,IMBD Rating,Runtime/Duration,Age Rating,Production Countries Details,Streaming Service Details
0,https://www.justwatch.com/in/movie/stree-2, Stree 2: Sarkate Ka Aatank  ,2024,"Comedy, Horror",7.6,2h 27min,UA,India,Apple TV+
1,https://www.justwatch.com/in/movie/kill-2024, Kill  ,2024,"Action & Adventure, Crime, Drama, Mystery & Thriller",7.6,1h 45min,A,India,Apple TV+
3,https://www.justwatch.com/in/movie/project-k, Kalki 2898-AD  ,2024,"Drama, Action & Adventure, Fantasy, Science-Fiction, Mystery & Thriller",7.1,2h 56min,UA,India,Amazon Video
6,https://www.justwatch.com/in/movie/siddharth-roy, Siddharth Roy  ,2024,"Drama, Romance",7.2,2h 28min,A,India,Apple TV+
7,https://www.justwatch.com/in/movie/sector-36, Sector 36  ,2024,"Crime, Mystery & Thriller, Drama",7.3,2h 4min,A,India,Apple TV+
9,https://www.justwatch.com/in/movie/deadpool-3, Deadpool & Wolverine  ,2024,"Science-Fiction, Action & Adventure, Comedy",8.0,2h 8min,A,United States,Apple TV+
11,https://www.justwatch.com/in/movie/thangalaan, Thangalaan  ,2024,"Action & Adventure, Fantasy, Drama, History",7.2,2h 36min,UA,India,Apple TV+
14,https://www.justwatch.com/in/movie/maharaja-2024, Maharaja  ,2024,"Action & Adventure, Crime, Drama, Mystery & Thriller",8.5,2h 21min,UA,India,Apple TV+
17,https://www.justwatch.com/in/movie/inside-out-2, Inside Out 2  ,2024,"Fantasy, Animation, Comedy, Drama, Kids & Family",7.7,1h 37min,U,United States,Bookmyshow
18,https://www.justwatch.com/in/movie/saripodhaa-sanivaaram, Saripodhaa Sanivaaram  ,2024,"Mystery & Thriller, Action & Adventure",7.5,2h 50min,UA,India,Apple TV+
24,https://www.justwatch.com/in/movie/aavesham-2024, Aavesham  ,2024,"Comedy, Action & Adventure",7.8,2h 38min,UA,India,Amazon Video
28,https://www.justwatch.com/in/movie/thalavan, Thalavan  ,2024,"Crime, Mystery & Thriller, Drama",7.2,2h 13min,UA,India,Apple TV+
33,https://www.justwatch.com/in/movie/chandu-champion, Chandu Champion  ,2024,"War & Military, Action & Adventure, Drama, History, Sport",7.9,2h 22min,UA,India,Apple TV+
37,https://www.justwatch.com/in/movie/dune-part-two, Dune: Part Two  ,2024,"Action & Adventure, Science-Fiction, Drama",8.5,2h 47min,UA,United States,Apple TV
38,https://www.justwatch.com/in/movie/golam, Golam  ,2024,Crime,7.2,2h 0min,UA,India,Apple TV+
41,https://www.justwatch.com/in/movie/vaazha, Vaazha  ,2024,"Comedy, Drama",7.3,2h 5min,UA,India,Apple TV+
42,https://www.justwatch.com/in/movie/khel-khel-mein, Khel Khel Mein  ,2024,"Comedy, Drama",7.1,2h 15min,UA,India,Apple TV+
45,https://www.justwatch.com/in/movie/the-buckingham-murders, The Buckingham Murders  ,2024,"Drama, Crime, Mystery & Thriller",7.3,1h 47min,UA,"India, United Kingdom",Apple TV+
46,https://www.justwatch.com/in/movie/alien-romulus, Alien: Romulus  ,2024,"Horror, Science-Fiction, Action & Adventure, Mystery & Thriller",7.4,1h 59min,A,United States,Apple TV+
47,https://www.justwatch.com/in/movie/aadujeevitham, The Goat Life  ,2024,Drama,7.1,2h 0min,UA,"United States, India",Apple TV+
50,https://www.justwatch.com/in/movie/furiosa, Furiosa: A Mad Max Saga  ,2024,"Action & Adventure, Science-Fiction, Mystery & Thriller",7.5,2h 28min,A,"Australia, United States",Apple TV
51,https://www.justwatch.com/in/movie/committee-kurrollu, Committee Kurrollu  ,2024,Drama,8.8,2h 36min,UA,India,Apple TV+
58,https://www.justwatch.com/in/movie/hanu-man, Hanu-Man  ,2024,"Fantasy, Action & Adventure, Comedy, Science-Fiction",7.8,2h 39min,UA,India,Jio Cinema
59,https://www.justwatch.com/in/movie/oppenheimer, Oppenheimer  ,2023,"Drama, History",8.3,3h 0min,UA,"United Kingdom, United States",Apple TV
60,https://www.justwatch.com/in/movie/laapataa-ladies, Laapataa Ladies  ,2024,"Comedy, Drama",8.4,2h 2min,UA,India,Apple TV+
61,https://www.justwatch.com/in/movie/aattam, Aattam  ,2024,"Drama, Mystery & Thriller",8.2,2h 19min,UA,India,Apple TV+
63,https://www.justwatch.com/in/movie/sam-bahadur, Sam Bahadur  ,2023,"Drama, War & Military, History",7.7,2h 30min,UA,India,Apple TV+
68,https://www.justwatch.com/in/movie/rajni-2024, Bibi Rajni  ,2024,"Kids & Family, History, Drama",8.6,2h 23min,U,India,Apple TV+
72,https://www.justwatch.com/in/movie/chilli-chicken, Chilli Chicken  ,2024,Drama,7.5,2h 3min,UA,India,Apple TV+
73,https://www.justwatch.com/in/movie/bramayugam, Bramayugam  ,2024,"Horror, Mystery & Thriller, Drama",7.8,2h 19min,UA,India,Apple TV+
80,https://www.justwatch.com/in/movie/honeymoon-express, Honeymoon Express  ,2024,"Romance, Comedy, Drama",8.6,1h 58min,A,India,Apple TV+
