,Movie URL's,Movie Title,release Year,Genres,IMBD Rating,Runtime/Duration,Age Rating,Production Countries Details,Streaming Service Details
1,https://www.justwatch.com/in/tv-show/adams-sweet-agony, Adam's Sweet Agony ,2024,Animation,7.6,1h 45min,A,India,Apple TV+
3,https://www.justwatch.com/in/tv-show/ic-814, IC 814: The Kandahar Hijack ,2024,"Mystery & Thriller, Drama, History, War & Military",7.1,2h 56min,UA,India,Amazon Video
4,https://www.justwatch.com/in/tv-show/gyaarah-gyaarah, Gyaarah Gyaarah ,2024,"Drama, Fantasy, Science-Fiction",7.5,2h 7min,UA,India,Apple TV
6,https://www.justwatch.com/in/tv-show/call-me-bae, Call Me Bae ,2024,"Romance, Drama, Comedy",7.2,2h 28min,A,India,Apple TV+
7,https://www.justwatch.com/in/tv-show/shogun-2024, Shōgun ,2024,"Drama, War & Military, History",7.3,2h 4min,A,India,Apple TV+
9,https://www.justwatch.com/in/tv-show/terminator-zero, Terminator Zero ,2024,"Science-Fiction, Animation, Action & Adventure",8.0,2h 8min,A,United States,Apple TV+
17,https://www.justwatch.com/in/tv-show/shekhar-home, Shekhar Home ,2024,"Crime, Drama",7.7,1h 37min,U,United States,Bookmyshow
18,https://www.justwatch.com/in/tv-show/kaos, Kaos ,2024,"Drama, Fantasy, Comedy, Science-Fiction",7.5,2h 50min,UA,India,Apple TV+
24,https://www.justwatch.com/in/tv-show/agatha-house-of-harkness, Agatha All Along ,2024,"Science-Fiction, Action & Adventure, Mystery & Thriller, Comedy, Drama, Fantasy",7.8,2h 38min,UA,India,Amazon Video
33,https://www.justwatch.com/in/tv-show/no-gain-no-love, No Gain No Love ,2024,"Comedy, Romance, Drama",7.9,2h 22min,UA,India,Apple TV+
37,https://www.justwatch.com/in/tv-show/moms-friends-son, Love Next Door ,2024,"Drama, Comedy, Romance",8.5,2h 47min,UA,United States,Apple TV
45,https://www.justwatch.com/in/tv-show/hidden-love, Hidden Love ,2023,Drama,7.3,1h 47min,UA,"India, United Kingdom",Apple TV+
50,https://www.justwatch.com/in/tv-show/monsters-the-lyle-and-erik-menendez-story, Monsters: The Lyle and Erik Menendez Story ,2024,"Drama, Crime, Horror, Mystery & Thriller",7.5,2h 28min,A,"Australia, United States",Apple TV
58,https://www.justwatch.com/in/tv-show/life-hill-gayi, Life Hill Gayi ,2024,"Romance, Comedy",7.8,2h 39min,UA,India,Jio Cinema
60,https://www.justwatch.com/in/tv-show/fallout, Fallout ,2024,"Action & Adventure, Drama, Science-Fiction, War & Military",8.4,2h 2min,UA,India,Apple TV+
67,https://www.justwatch.com/in/tv-show/3-body-problem, 3 Body Problem ,2024,"Science-Fiction, Mystery & Thriller, Drama, Fantasy",7.6,2h 32min,U,"United Kingdom, United States",Apple TV
82,https://www.justwatch.com/in/tv-show/aakhri-sach, Aakhri Sach ,2023,"Crime, Drama, Mystery & Thriller",7.8,3h 12min,U,India,Bookmyshow
84,https://www.justwatch.com/in/tv-show/the-last-of-us, The Last of Us ,2023,"Drama, Horror, Science-Fiction, Mystery & Thriller, Action & Adventure",7.7,2h 1min,UA,India,Apple TV+
